subjID,country,stimA,stimB,decision,recogA,recogB,accuracy
7,4,2,6,1,0,1,1
7,4,51,48,1,1,1,0
7,4,37,46,2,1,1,0
8,1,3,46,1,1,0,1
8,1,39,55,1,0,0,1
8,1,51,68,1,0,0,1
8,1,15,34,2,0,0,0
8,1,28,66,1,0,0,1
8,1,65,10,2,0,0,1
8,1,56,18,1,0,1,0
8,1,27,57,2,0,1,0
8,1,6,70,1,0,0,1
8,1,31,59,2,0,0,0
8,1,61,82,1,0,0,1
8,1,45,67,1,0,0,1
8,1,50,16,2,0,1,1
8,1,72,52,2,0,1,1
8,1,73,12,2,0,1,1
8,1,19,37,1,0,0,1
8,1,58,35,2,0,0,1
8,1,5,24,1,1,0,1
8,1,76,63,1,1,0,0
8,1,29,60,2,0,1,0
8,1,7,2,2,1,1,1
8,1,20,80,2,0,0,0
8,1,13,42,1,1,0,1
8,1,53,40,1,0,0,0
8,1,54,79,1,0,0,1
8,1,43,83,1,1,0,1
8,1,49,44,1,1,0,0
8,1,48,21,1,0,0,0
8,1,4,74,2,0,0,0
8,1,23,38,2,0,0,0
8,1,36,25,1,0,0,0
8,1,8,14,1,1,0,1
8,1,78,30,2,0,1,1
8,1,9,81,1,0,0,1
8,1,75,26,2,0,0,1
8,1,62,71,1,0,0,1
8,1,64,47,2,0,0,1
8,1,1,77,1,1,0,1
8,1,17,69,2,0,0,0
8,1,11,33,1,0,0,1
8,1,32,22,1,0,0,0
8,3,40,13,1,1,0,0
8,3,9,16,2,0,0,0
8,3,35,1,2,0,1,1
8,3,22,12,2,0,0,1
8,3,27,42,2,0,0,0
8,3,10,6,1,0,0,0
8,3,8,24,1,1,0,1
8,3,30,31,2,0,0,0
8,3,25,47,1,0,0,1
8,3,41,20,2,0,0,1
8,3,4,36,1,0,0,1
8,3,28,19,1,0,0,0
8,3,34,26,2,0,0,1
8,3,21,37,1,0,0,1
8,3,14,29,1,0,0,1
8,3,23,7,2,0,0,1
8,3,17,3,2,0,0,1
8,3,48,38,2,0,0,1
8,3,49,46,2,0,0,1
8,3,11,33,1,0,0,1
8,3,5,39,1,0,0,1
8,3,32,43,2,0,0,0
8,3,18,44,2,0,0,0
8,3,45,2,1,0,0,0
8,4,45,21,1,0,0,0
8,4,14,54,2,1,0,0
8,4,31,32,2,0,0,0
8,4,11,30,1,0,0,1
8,4,41,1,2,1,1,1
8,4,8,49,1,1,0,1
8,4,17,40,1,0,0,1
8,4,9,52,1,1,0,1
8,4,7,61,1,0,0,1
8,4,15,43,2,0,0,0
8,4,38,58,1,0,0,1
8,4,53,55,1,0,0,1
8,4,28,57,2,1,1,0
8,4,35,39,1,0,0,1
8,4,66,27,2,0,0,1
8,4,60,34,1,0,0,0
8,4,16,18,2,0,0,0
8,4,19,13,1,1,0,0
8,4,47,50,1,0,0,1
8,4,63,23,2,0,0,1
8,4,5,56,2,0,1,0
8,4,65,59,2,0,0,1
8,4,64,22,2,0,0,1
8,4,42,36,2,0,0,1
8,4,33,24,1,0,0,0
8,4,62,44,2,0,0,1
8,4,25,4,2,1,1,1
8,4,29,3,2,0,0,1
8,4,10,20,2,0,1,0
8,4,26,12,1,0,0,0
8,4,2,6,2,0,0,0
8,4,51,48,1,0,0,0
8,4,37,46,1,0,0,1
9,1,3,46,1,1,0,1
9,1,39,55,2,0,0,0
9,1,51,68,2,0,0,0
9,1,15,34,1,1,0,1
9,1,28,66,2,0,0,0
9,1,65,10,1,0,0,0
9,1,56,18,1,0,0,0
9,1,27,57,1,0,0,1
9,1,6,70,1,0,0,1
9,1,31,59,2,0,0,0
9,1,61,82,2,0,0,0
9,1,45,67,2,0,0,0
9,1,50,16,1,0,0,0
9,1,72,52,1,0,0,0
9,1,73,12,2,0,1,1
9,1,19,37,2,0,0,0
9,1,58,35,2,0,0,1
9,1,5,24,1,1,0,1
9,1,76,63,1,0,0,0
9,1,29,60,1,0,0,1
9,1,7,2,2,0,0,1
9,1,20,80,1,0,0,1
9,1,13,42,2,0,0,0
9,1,53,40,2,0,0,1
9,1,54,79,2,0,0,0
9,1,43,83,2,0,0,0
9,1,49,44,1,0,0,0
9,1,48,21,1,0,0,0
9,1,4,74,1,1,0,1
9,1,23,38,2,0,0,0
9,1,36,25,2,0,0,1
9,1,8,14,1,1,1,1
9,1,78,30,1,0,0,0
9,1,9,81,1,1,0,1
9,1,75,26,2,0,0,1
9,1,62,71,1,0,0,1
9,1,64,47,2,0,0,1
9,1,1,77,1,1,0,1
9,1,17,69,1,0,0,1
9,1,11,33,2,0,0,0
9,1,32,22,1,0,0,0
9,2,16,44,2,0,1,0
9,2,67,58,2,0,1,1
9,2,24,66,1,1,1,1
9,2,51,50,2,1,0,1
9,2,38,70,2,0,1,0
9,2,39,15,1,1,1,0
9,2,40,11,1,1,1,0
9,2,62,48,2,1,1,1
9,2,60,17,2,1,1,1
9,2,32,7,1,1,1,0
9,2,68,23,1,1,1,0
9,2,63,6,2,1,1,1
9,2,8,26,2,1,1,0
9,2,61,31,2,1,1,1
9,2,46,36,2,1,1,1
9,2,37,65,1,1,1,1
9,2,59,73,1,1,0,1
9,2,29,57,2,1,1,0
9,2,28,34,1,1,1,1
9,2,74,33,2,0,1,1
9,2,71,52,1,1,1,0
9,2,64,54,2,1,1,1
9,2,53,45,2,1,1,1
9,2,13,42,2,1,1,0
9,2,41,56,2,1,1,0
9,2,72,20,1,1,1,0
9,2,2,3,1,1,1,1
9,2,47,14,2,1,1,1
9,2,18,22,1,1,1,1
9,2,1,35,1,1,1,1
9,2,21,25,2,1,1,0
9,2,55,30,1,1,1,0
9,2,12,9,2,1,1,1
9,2,4,5,1,1,1,1
9,2,10,69,1,1,1,1
9,2,19,49,1,1,1,1
9,2,43,27,2,1,1,1
9,3,40,13,1,0,0,0
9,3,9,16,2,0,0,0
9,3,35,1,2,0,1,1
9,3,22,12,1,0,0,0
9,3,27,42,2,0,1,0
9,3,10,6,2,0,1,1
9,3,8,24,1,1,0,1
9,3,30,31,2,0,0,0
9,3,25,47,2,0,0,0
9,3,41,20,1,0,0,0
9,3,4,36,2,0,0,0
9,3,28,19,2,0,0,1
9,3,34,26,1,0,0,0
9,3,21,37,1,1,0,1
9,3,14,29,2,0,0,0
9,3,23,7,2,0,1,1
9,3,17,3,2,0,1,1
9,3,48,38,1,0,0,0
9,3,49,46,2,0,0,1
9,3,11,33,1,0,0,1
9,3,5,39,1,0,0,1
9,3,32,43,1,1,0,1
9,3,18,44,2,0,0,0
9,3,45,2,2,0,1,1
9,4,45,21,2,0,0,1
9,4,14,54,1,0,0,1
9,4,31,32,2,0,0,0
9,4,11,30,2,0,0,0
9,4,41,1,2,1,1,1
9,4,8,49,1,1,1,1
9,4,17,40,2,0,0,0
